ltr,tbl,dy,de,bm,tms,dfy,dfr,infl,ntis,ret
-0.0174,0.0092,0.053359,0.517819,0.731993,0.0137,0.0067,0.0076,0.004348,0.025908,-0.017633
-0.0192,0.0095,0.056037,0.521739,0.725326,0.0148,0.0066,0.0216,0.012987,0.025922,0.030784
0.002,0.0097,0.05512,0.513185,0.751888,0.0146,0.0066,0.0004,0.012821,0.027765,-0.037743
0.0046,0.01,0.057636,0.504969,0.78777,0.0141,0.0068,-0.0007,-0.008439,0.029134,-0.040232
0.0034,0.01,0.060714,0.497076,0.841422,0.0141,0.007,0.0081,-0.004255,0.027187,0.08144
0.0045,0.01,0.056366,0.482955,0.825993,0.0139,0.0069,-0.0007,0.017094,0.027454,0.030821
0.0141,0.01,0.05491,0.469613,0.781692,0.0131,0.0062,-0.0133,0.004202,0.025578,0.084014
-0.0084,0.01,0.050929,0.456989,0.786974,0.0138,0.0058,0.0001,0.008368,0.023894,0.007665
-0.0021,0.01,0.051175,0.443869,0.822258,0.0141,0.0056,-0.0031,0.012448,0.022179,-0.052296
0.0001,0.0106,0.054469,0.431667,0.820538,0.0136,0.006,0.0054,0.004098,0.019227,0.015539
0.0014,0.0109,0.054477,0.42029,0.836231,0.0133,0.0061,0.001,0,0.019128,-0.027016
0.0007,0.0112,0.057456,0.415242,0.791906,0.0131,0.0066,0.0017,-0.004082,0.018134,0.070041
0.0076,0.0114,0.055018,0.410526,0.870911,0.0125,0.0069,0.0009,-0.008197,0.017792,-0.098332
